Artist;Listeners;Daily Trend;Peak;PkListeners
Big Sean;18;842;322;3
Becky Hill;18;830;73;33
Julia Michaels;18;826;294;30
Pink Floyd;18;791;532;42
Hotel Ugly;18;736;585;49
The Offspring;18;727;741;66
MC Kevin o Chris;18;621;476;15
Danny Ocean;18;500;280;30
Migos;18;431;323;33
Led Zeppelin;18;414;926;29
Avril Lavigne;18;335;483;17
Juanes;18;327;301;28
Journey;18;282;249;24
Vishal Mishra;18;261;208;46
French Montana;18;158;9;12
Train;18;142;889;1
Doechii;18;83;33;40
Piso 21;18;41;669;52
Jonita Gandhi;18;13;716;90
R.E.M.;17;988;456;17
Carly Rae Jepsen;17;950;309;72
Elvis Presley;17;943;572;3
Oliver Tree;17;918;599;19
blink182;17;911;522;676
Cigarettes After Sex;17;884;283;28
Alec Benjamin;17;821;830;1
Earth  Wind & Fire;17;739;235;69
Kelly Clarkson;17;736;733;44
League of Legends;17;629;115;1
Joel Corry;17;608;419;237
Dire Straits;17;583;132;3
aha;17;509;236;18
Shaggy;17;474;596;7
Aventura;17;468;742;751
System Of A Down;17;456;630;38
ManÃ¡;17;455;399;19
Daryl Hall & John Oates;17;454;211;35
BeÃ©le;17;430;193;58
blackbear;17;365;114;22
Justin Quiles;17;364;884;3
Little Mix;17;298;704;6
Ãengo Flow;17;290;81;5
Luis Miguel;17;287;281;71
Dean Lewis;17;282;123;30
De La Ghetto;17;276;193;36
YoungBoy Never Broke Again;17;263;743;76
Baby Keem;17;258;372;7
Alessia Cara;17;190;344;27
PARTYNEXTDOOR;17;182;482;26
Vishal Dadlani;17;102;60;69
Niall Horan;17;46;772;37
Jason Mraz;17;24;69;32
GEazy;17;13;957;65
Backstreet Boys;16;972;687;14
Sonu Nigam;16;957;534;23
The Cranberries;16;946;878;39
The Cure;16;913;364;25
Chinmayi;16;911;977;26
Lil Tjay;16;885;557;22
Atif Aslam;16;866;865;1
Cris Mj;16;861;487;155
Steve Aoki;16;859;565;20
Mac DeMarco;16;836;296;33
David Bowie;16;821;498;25
Shania Twain;16;809;895;67
Emilia;16;804;719;129
George Michael;16;790;739;11
Imanbek;16;787;217;5
Dominic Fike;16;781;477;8
Libianca;16;748;951;106
The Script;16;748;730;7
Russ;16;701;888;59
George Ezra;16;660;984;47
Nile Rodgers;16;656;408;70
Jasleen Royal;16;651;77;267
FMK;16;640;237;21
Mohit Chauhan;16;632;516;12
Zedd;16;592;427;22
Gucci Mane;16;553;573;1
Bryson Tiller;16;551;17;31
Luis R Conriquez;16;514;511;995
Prince Royce;16;491;435;7
Mc Gw;16;488;133;254
Eden MuÃ±oz;16;485;789;79
Lynyrd Skynyrd;16;456;350;22
NF;16;455;308;29
LUDMILLA;16;391;761;4
Quavo;16;303;771;5
Bill Withers;16;261;729;74
Sachet Tandon;16;227;51;49
Bruce Springsteen;16;226;643;3
AP Dhillon;16;210;854;115
Ice Cube;16;195;49;26
Lil Tecca;16;138;802;84
LIT killah;16;101;675;38
Kungs;16;63;291;72
Jax Jones;16;51;684;25
Topic;16;40;418;26
Ella Henderson;16;25;418;27
Los Ãngeles Azules;16;21;310;69
Jessie J;15;971;871;8
Tove Lo;15;970;694;93
Bad Gyal;15;942;222;29
benny blanco;15;930;635;15
Rosa Linn;15;915;17;101
Lord Huron;15;906;977;46
Gesaffelstein;15;891;155;2
Tokischa;15;856;953;20
Banda MS de Sergio LizÃ¡rraga;15;852;687;22
Keane;15;823;574;22
The White Stripes;15;800;722;12
MC Ryan SP;15;750;834;46
Badshah;15;710;761;52
The Goo Goo Dolls;15;704;120;66
John Mayer;15;629;289;26
ShankarEhsaanLoy;15;619;26;2
Nickelback;15;571;772;19
070 Shake;15;549;639;45
Ana Castela;15;542;197;49
My Chemical Romance;15;525;39;17
Sunidhi Chauhan;15;477;126;7
Cyndi Lauper;15;453;338;25
Bon Iver;15;427;244;13
Kings of Leon;15;415;693;22
Ricky Martin;15;401;930;25
beabadoobee;15;334;890;3
Brray;15;301;717;113
Noah Kahan;15;259;153;25
Gwen Stefani;15;242;336;7
TV Girl;15;240;196;39
Blessd;15;179;576;27
Santana;15;173;412;53
Julieta Venegas;15;136;147;6
Gabry Ponte;15;117;896;22
Ovy On The Drums;15;89;695;59
DENNIS;15;73;535;21
NATTI NATASHA;15;62;502;27
Amy Winehouse;15;60;801;437
Annie Lennox;15;24;556;18
6LACK;15;6;811;5
Black Sabbath;14;873;594;25
Carlos Vives;14;861;437;2
B Praak;14;842;549;2
Kylie Minogue;14;838;923;1
Alejandro FernÃ¡ndez;14;799;640;17
Lil Peep;14;749;584;54
Bomba EstÃ©reo;14;740;676;30
Armin van Buuren;14;739;359;5
Jain;14;707;409;62
Rusherking;14;658;187;30
Mike Posner;14;619;745;11
Morat;14;595;190;57
Clairo;14;585;428;42
Big One;14;579;468;173
Kunaal Vermaa;14;549;882;53
Lenny TavÃ¡rez;14;505;595;3
Disclosure;14;499;906;20
Melanie Martinez;14;499;873;563
Madison Beer;14;495;280;20
Purple Disco Machine;14;464;92;114
Weezer;14;439;765;5
Frank Sinatra;14;391;925;33
Mithoon;14;380;477;4
Fred again..;14;358;951;149
Armaan Malik;14;291;502;43
Kacey Musgraves;14;284;778;506
Benson Boone;14;274;669;10
Jorja Smith;14;242;850;4
Meek Mill;14;213;200;2
Tony Dize;14;179;930;4
Destiny's Child;14;171;491;640
DJ Luian;14;170;471;12
Milky Chance;14;151;286;12
Lukas Graham;14;137;648;97
Empire of the Sun;14;125;570;23
New West;14;87;997;46
Van Halen;14;48;868;50
Passenger;14;47;859;7
Neha Kakkar;14;34;288;10
Parampara Tandon;14;23;788;34
DBlock Europe;14;19;98;458
Jaani;14;12;948;52
24kGoldn;14;12;294;2
Mambo Kingz;14;9;730;12
Paulo Londra;13;918;348;20
Tones And I;13;912;509;44
