Morgan Wallen,"25748660","19305",160,"26588086"
d4vd,"25720715","118176",94,"31836766"
Twenty One Pilots,"25691096","51544",157,"27206643"
Carin Leon,"25609771","63252",177,"25609771"
Lost Frequencies,"25466808","65302",175,"25466808"
NewJeans,"25411049","-30073",160,"26786050"
Akon,"25310879","-102563",157,"26975304"
David Kushner,"25151742","29632",143,"27928294"
PinkPantheress,"25151265","20568",60,"39844680"
Amitabh Bhattacharya,"25062547","-4304",160,"26965104"
Metallica,"25060410","34725",144,"26870829"
Sabrina Carpenter,"25017911","25869",171,"25017911"
Mariah Carey,"24989476","64194",161,"24989476"
Major Lazer,"24984663","35475",186,"25065451"
Nelly Furtado,"24962665","198953",188,"24962665"
JVKE,"24850437","-54435",110,"31684143"
Tame Impala,"24668031","-37664",162,"26702310"
Swedish House Mafia,"24623937","-27743",187,"24899684"
Tyga,"24604130","2401",176,"25118039"
Jonas Brothers,"24509669","-4383",184,"25278372"
Alicia Keys,"24418967","27693",169,"25833027"
Yng Lvcas,"24340556","-92754",101,"32431402"
Tory Lanez,"24339532","6694",196,"24339532"
ZAYN,"24323031","-32418",171,"26177320"
Polo G,"24310207","10356",170,"24908452"
BLACKPINK,"24221202","158521",173,"25116235"
Yandel,"24214789","21019",126,"27875326"
Kid Cudi,"24184963","-17956",183,"25014740"
Duki,"24181175","-5204",162,"26492455"
Mac Miller,"24074093","19050",192,"24328100"
Radiohead,"24014999","21738",177,"25390483"
Enrique Iglesias,"24010676","17562",183,"24875119"
Pop Smoke,"23985199","48708",162,"25280553"
Anirudh Ravichander,"23976058","287519",207,"23976058"
Christina Aguilera,"23817447","-15204",178,"24406255"
